tank_id,profile,level_pct,tto_hours,priority,tier,gas_now,temp_c,hum_pct,base,gas_anom,env_anom,lat,lon,zone,is_narrow,demand,service_min,deadline_min
2,B,99.87,1.0,1.0,HIGH,751.1,23.1,43.9,0.973,0.3178,0.2344,31.537546723651992,35.07362181433338,center,1,3,18,60
4,B,100.0,1.0,1.0,HIGH,479.7,20.3,45.6,0.9735,0.3702,0.1782,31.507899946238734,35.09537178665947,ring,0,3,18,60
5,B,99.97,1.0,1.0,HIGH,735.7,13.2,62.6,0.9734,0.1544,0.1824,31.50849277117873,35.074535650667194,center,0,3,18,60
6,B,100.0,1.0,1.0,HIGH,707.9,14.0,67.1,0.9735,0.0572,0.2012,31.511190098057483,35.08116194823035,center,0,3,18,60
7,B,99.94,1.0,1.0,HIGH,621.5,21.2,57.2,0.9733,0.0861,0.2358,31.533855147430874,35.089834023732536,ring,0,3,18,60
15,C,100.0,1.0,1.0,HIGH,769.8,25.4,71.2,0.9735,0.275,0.2948,31.547923422952433,35.084480464316584,outer,1,3,18,60
18,B,100.0,1.0,1.0,HIGH,614.3,15.7,74.2,0.9735,0.0357,0.3312,31.520424091205097,35.110806317956,center,1,3,18,60
13,C,99.94,1.0,0.9941,HIGH,607.8,19.0,50.6,0.9733,0.0268,0.1544,31.536945673446308,35.08861987713629,center,0,3,18,60
14,A,99.34,13.0,0.8836,HIGH,545.1,15.1,66.7,0.7258,0.6296,0.3182,31.507980058498312,35.080297935640964,ring,1,3,18,690
16,B,100.0,9.0,0.8275,HIGH,693.5,20.1,45.9,0.7967,0.0299,0.2482,31.520707358518838,35.09927809317538,ring,0,3,18,450
3,B,100.0,47.0,0.4757,MEDIUM,603.9,16.0,61.9,0.4417,0.0271,0.2856,31.544718974076122,35.104949721686474,ring,0,2,12,1350
11,A,67.82,999.0,0.4537,MEDIUM,464.5,23.4,68.6,0.2374,0.9512,0.2608,31.53125982519057,35.113756874778666,center,0,2,12,1440
8,A,93.29,999.0,0.4372,LOW,528.4,15.4,65.8,0.3265,0.416,0.2746,31.554008742374627,35.07590328891275,ring,0,1,7,1440
0,A,78.36,999.0,0.4042,LOW,627.0,22.6,60.1,0.2743,0.5276,0.2439,31.512599226733023,35.09444815502379,center,0,1,7,1440
19,B,100.0,999.0,0.3843,LOW,602.8,16.3,46.4,0.35,0.0794,0.1841,31.54322854331064,35.098651297013866,center,0,1,7,1440
12,A,61.77,999.0,0.3474,LOW,467.8,25.2,66.5,0.2162,0.532,0.2476,31.53976476831368,35.09971849385525,outer,0,1,7,1440
10,A,62.43,999.0,0.3456,LOW,505.6,20.2,63.3,0.2185,0.5084,0.2542,31.546998389025628,35.11723405475539,ring,0,1,7,1440
17,A,83.53,999.0,0.3416,LOW,455.7,19.0,71.7,0.2924,0.0886,0.3147,31.50803347137986,35.10507460106522,ring,0,1,7,1440
1,A,66.99,999.0,0.2942,LOW,265.1,20.6,72.4,0.2345,0.1811,0.2347,31.546096239330485,35.08422977660471,ring,0,1,7,1440
9,A,64.02,999.0,0.2763,LOW,246.6,12.0,66.6,0.2241,0.1615,0.1991,31.50612814640278,35.09308476431499,center,0,1,7,1440
